,start_station,end_station,size,start_station_Latitud,start_station_Longitud,mes
134,132,132,341,40.4463889,-3.7035911,2021/1/01
135,132,132,341,40.4463889,-3.7035911,2021/1/01
136,132,132,341,40.4463889,-3.7035911,2021/1/01
137,132,132,341,40.4463889,-3.7035911,2021/1/01
138,132,132,341,40.4463889,-3.7035911,2021/1/01
139,132,132,341,40.4463889,-3.7035911,2021/1/01
140,132,132,341,40.4463889,-3.7035911,2021/1/01
141,132,132,341,40.4463889,-3.7035911,2021/1/01
142,132,132,341,40.4463889,-3.7035911,2021/1/01
143,132,132,341,40.4463889,-3.7035911,2021/1/01
144,132,132,341,40.4463889,-3.7035911,2021/1/01
145,132,132,341,40.4463889,-3.7035911,2021/1/01
146,132,132,341,40.4463889,-3.7035911,2021/1/01
147,132,132,341,40.4463889,-3.7035911,2021/1/01
148,132,132,341,40.4463889,-3.7035911,2021/1/01
149,132,132,341,40.4463889,-3.7035911,2021/1/01
150,132,132,341,40.4463889,-3.7035911,2021/1/01
151,132,132,341,40.4463889,-3.7035911,2021/1/01
152,132,132,341,40.4463889,-3.7035911,2021/1/01
153,132,132,341,40.4463889,-3.7035911,2021/1/01
154,132,132,341,40.4463889,-3.7035911,2021/1/01
155,132,132,341,40.4463889,-3.7035911,2021/1/01
156,132,132,341,40.4463889,-3.7035911,2021/1/01
157,132,132,341,40.4463889,-3.7035911,2021/1/01
158,132,132,341,40.4463889,-3.7035911,2021/1/01
159,132,132,341,40.4463889,-3.7035911,2021/1/01
160,132,132,341,40.4463889,-3.7035911,2021/1/01
161,132,132,341,40.4463889,-3.7035911,2021/1/01
162,132,132,341,40.4463889,-3.7035911,2021/1/01
163,132,132,341,40.4463889,-3.7035911,2021/1/01
164,132,132,341,40.4463889,-3.7035911,2021/1/01
165,132,132,341,40.4463889,-3.7035911,2021/1/01
166,132,132,341,40.4463889,-3.7035911,2021/1/01
167,132,132,341,40.4463889,-3.7035911,2021/1/01
168,132,132,341,40.4463889,-3.7035911,2021/1/01
169,132,132,341,40.4463889,-3.7035911,2021/1/01
170,132,132,341,40.4463889,-3.7035911,2021/1/01
171,132,132,341,40.4463889,-3.7035911,2021/1/01
172,132,132,341,40.4463889,-3.7035911,2021/1/01
173,132,132,341,40.4463889,-3.7035911,2021/1/01
174,132,132,341,40.4463889,-3.7035911,2021/1/01
175,132,132,341,40.4463889,-3.7035911,2021/1/01
176,132,132,341,40.4463889,-3.7035911,2021/1/01
177,132,132,341,40.4463889,-3.7035911,2021/1/01
178,132,132,341,40.4463889,-3.7035911,2021/1/01
179,132,132,341,40.4463889,-3.7035911,2021/1/01
180,132,132,341,40.4463889,-3.7035911,2021/1/01
181,132,132,341,40.4463889,-3.7035911,2021/1/01
182,132,132,341,40.4463889,-3.7035911,2021/1/01
183,132,132,341,40.4463889,-3.7035911,2021/1/01
184,132,132,341,40.4463889,-3.7035911,2021/1/01
185,132,132,341,40.4463889,-3.7035911,2021/1/01
186,132,132,341,40.4463889,-3.7035911,2021/1/01
187,132,132,341,40.4463889,-3.7035911,2021/1/01
188,132,132,341,40.4463889,-3.7035911,2021/1/01
189,132,132,341,40.4463889,-3.7035911,2021/1/01
190,132,132,341,40.4463889,-3.7035911,2021/1/01
191,132,132,341,40.4463889,-3.7035911,2021/1/01
192,132,132,341,40.4463889,-3.7035911,2021/1/01
193,132,132,341,40.4463889,-3.7035911,2021/1/01
194,132,132,341,40.4463889,-3.7035911,2021/1/01
195,132,132,341,40.4463889,-3.7035911,2021/1/01
196,132,132,341,40.4463889,-3.7035911,2021/1/01
197,132,132,341,40.4463889,-3.7035911,2021/1/01
198,132,132,341,40.4463889,-3.7035911,2021/1/01
199,132,132,341,40.4463889,-3.7035911,2021/1/01
200,132,132,341,40.4463889,-3.7035911,2021/1/01
201,132,132,341,40.4463889,-3.7035911,2021/1/01
202,132,132,341,40.4463889,-3.7035911,2021/1/01
203,132,132,341,40.4463889,-3.7035911,2021/1/01
204,132,132,341,40.4463889,-3.7035911,2021/1/01
205,132,132,341,40.4463889,-3.7035911,2021/1/01
206,132,132,341,40.4463889,-3.7035911,2021/1/01
207,132,132,341,40.4463889,-3.7035911,2021/1/01
208,132,132,341,40.4463889,-3.7035911,2021/1/01
209,132,132,341,40.4463889,-3.7035911,2021/1/01
210,132,132,341,40.4463889,-3.7035911,2021/1/01
211,132,132,341,40.4463889,-3.7035911,2021/1/01
212,132,132,341,40.4463889,-3.7035911,2021/1/01
213,132,132,341,40.4463889,-3.7035911,2021/1/01
214,132,132,341,40.4463889,-3.7035911,2021/1/01
215,132,132,341,40.4463889,-3.7035911,2021/1/01
216,132,132,341,40.4463889,-3.7035911,2021/1/01
217,132,132,341,40.4463889,-3.7035911,2021/1/01
218,132,132,341,40.4463889,-3.7035911,2021/1/01
219,132,132,341,40.4463889,-3.7035911,2021/1/01
220,132,132,341,40.4463889,-3.7035911,2021/1/01
221,132,132,341,40.4463889,-3.7035911,2021/1/01
222,132,132,341,40.4463889,-3.7035911,2021/1/01
223,132,132,341,40.4463889,-3.7035911,2021/1/01
224,132,132,341,40.4463889,-3.7035911,2021/1/01
225,132,132,341,40.4463889,-3.7035911,2021/1/01
226,132,132,341,40.4463889,-3.7035911,2021/1/01
227,132,132,341,40.4463889,-3.7035911,2021/1/01
228,132,132,341,40.4463889,-3.7035911,2021/1/01
229,132,132,341,40.4463889,-3.7035911,2021/1/01
230,132,132,341,40.4463889,-3.7035911,2021/1/01
231,132,132,341,40.4463889,-3.7035911,2021/1/01
232,132,132,341,40.4463889,-3.7035911,2021/1/01
233,132,132,341,40.4463889,-3.7035911,2021/1/01
234,132,132,341,40.4463889,-3.7035911,2021/1/01
235,132,132,341,40.4463889,-3.7035911,2021/1/01
236,132,132,341,40.4463889,-3.7035911,2021/1/01
237,132,132,341,40.4463889,-3.7035911,2021/1/01
238,132,132,341,40.4463889,-3.7035911,2021/1/01
239,132,132,341,40.4463889,-3.7035911,2021/1/01
240,132,132,341,40.4463889,-3.7035911,2021/1/01
241,132,132,341,40.4463889,-3.7035911,2021/1/01
242,132,132,341,40.4463889,-3.7035911,2021/1/01
