,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
59,212,212,239,79686,79686,40.3981605,-3.7165313,-3.7165313,40.3981605,630,2020-11-20T14:00:00Z,2020/10/01
60,212,212,239,80636,80636,40.3981605,-3.7165313,-3.7165313,40.3981605,786,2020-11-03T19:00:00Z,2020/10/01
61,212,212,239,85242,85242,40.3981605,-3.7165313,-3.7165313,40.3981605,1073,2020-11-02T20:00:00Z,2020/10/01
62,212,212,239,86511,86511,40.3981605,-3.7165313,-3.7165313,40.3981605,1228,2020-11-19T12:00:00Z,2020/10/01
63,212,212,239,87150,87150,40.3981605,-3.7165313,-3.7165313,40.3981605,4657,2020-11-27T12:00:00Z,2020/10/01
64,212,212,239,89242,89242,40.3981605,-3.7165313,-3.7165313,40.3981605,1713,2020-11-24T14:00:00Z,2020/10/01
65,212,212,239,89871,89871,40.3981605,-3.7165313,-3.7165313,40.3981605,763,2020-11-03T21:00:00Z,2020/10/01
66,212,212,239,90501,90501,40.3981605,-3.7165313,-3.7165313,40.3981605,653,2020-11-12T14:00:00Z,2020/10/01
67,212,212,239,91680,91680,40.3981605,-3.7165313,-3.7165313,40.3981605,10,2020-11-25T16:00:00Z,2020/10/01
68,212,212,239,91681,91681,40.3981605,-3.7165313,-3.7165313,40.3981605,10,2020-11-25T16:00:00Z,2020/10/01
69,212,212,239,92303,92303,40.3981605,-3.7165313,-3.7165313,40.3981605,803,2020-11-05T22:00:00Z,2020/10/01
70,212,212,239,93395,93395,40.3981605,-3.7165313,-3.7165313,40.3981605,1331,2020-11-18T21:00:00Z,2020/10/01
71,212,212,239,93699,93699,40.3981605,-3.7165313,-3.7165313,40.3981605,2544,2020-11-21T22:00:00Z,2020/10/01
72,212,212,239,94276,94276,40.3981605,-3.7165313,-3.7165313,40.3981605,1585,2020-11-29T23:00:00Z,2020/10/01
73,212,212,239,94654,94654,40.3981605,-3.7165313,-3.7165313,40.3981605,12880,2020-11-05T18:00:00Z,2020/10/01
74,212,212,239,94847,94847,40.3981605,-3.7165313,-3.7165313,40.3981605,515,2020-11-07T19:00:00Z,2020/10/01
75,212,212,239,95126,95126,40.3981605,-3.7165313,-3.7165313,40.3981605,7,2020-11-11T11:00:00Z,2020/10/01
76,212,212,239,95737,95737,40.3981605,-3.7165313,-3.7165313,40.3981605,905,2020-11-18T14:00:00Z,2020/10/01
77,212,212,239,96855,96855,40.3981605,-3.7165313,-3.7165313,40.3981605,1128,2020-11-03T12:00:00Z,2020/10/01
78,212,212,239,100464,100464,40.3981605,-3.7165313,-3.7165313,40.3981605,971,2020-11-19T16:00:00Z,2020/10/01
79,212,212,239,101663,101663,40.3981605,-3.7165313,-3.7165313,40.3981605,7,2020-11-06T11:00:00Z,2020/10/01
80,212,212,239,102705,102705,40.3981605,-3.7165313,-3.7165313,40.3981605,1506,2020-11-19T15:00:00Z,2020/10/01
81,212,212,239,105009,105009,40.3981605,-3.7165313,-3.7165313,40.3981605,1248,2020-11-19T17:00:00Z,2020/10/01
82,212,212,239,107082,107082,40.3981605,-3.7165313,-3.7165313,40.3981605,1764,2020-11-16T22:00:00Z,2020/10/01
83,212,212,239,111896,111896,40.3981605,-3.7165313,-3.7165313,40.3981605,1305,2020-11-18T22:00:00Z,2020/10/01
84,212,212,239,112411,112411,40.3981605,-3.7165313,-3.7165313,40.3981605,798,2020-11-24T22:00:00Z,2020/10/01
85,212,212,239,114058,114058,40.3981605,-3.7165313,-3.7165313,40.3981605,677,2020-11-17T08:00:00Z,2020/10/01
86,212,212,239,114803,114803,40.3981605,-3.7165313,-3.7165313,40.3981605,9,2020-11-25T16:00:00Z,2020/10/01
87,212,212,239,114804,114804,40.3981605,-3.7165313,-3.7165313,40.3981605,10,2020-11-25T16:00:00Z,2020/10/01
88,212,212,239,114824,114824,40.3981605,-3.7165313,-3.7165313,40.3981605,911,2020-11-25T22:00:00Z,2020/10/01
89,212,212,239,119899,119899,40.3981605,-3.7165313,-3.7165313,40.3981605,2108,2020-11-02T22:00:00Z,2020/10/01
90,212,212,239,119947,119947,40.3981605,-3.7165313,-3.7165313,40.3981605,1633,2020-11-03T23:00:00Z,2020/10/01
91,212,212,239,120659,120659,40.3981605,-3.7165313,-3.7165313,40.3981605,1356,2020-11-13T14:00:00Z,2020/10/01
92,212,212,239,121987,121987,40.3981605,-3.7165313,-3.7165313,40.3981605,1774,2020-11-30T11:00:00Z,2020/10/01
93,212,212,239,122321,122321,40.3981605,-3.7165313,-3.7165313,40.3981605,6,2020-11-06T11:00:00Z,2020/10/01
94,212,212,239,123746,123746,40.3981605,-3.7165313,-3.7165313,40.3981605,1560,2020-11-23T22:00:00Z,2020/10/01
95,212,212,239,126190,126190,40.3981605,-3.7165313,-3.7165313,40.3981605,7,2020-11-25T16:00:00Z,2020/10/01
