,start_station,end_station,size,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,index
75,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,712,2021-04-08T12:00:00Z,231051
76,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,532,2021-04-10T11:00:00Z,231236
77,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,635,2021-04-05T15:00:00Z,233263
78,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,555,2021-04-22T18:00:00Z,234747
79,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,620,2021-04-23T14:00:00Z,237340
80,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,805,2021-04-13T18:00:00Z,238986
81,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,577,2021-04-21T07:00:00Z,252161
82,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,723,2021-04-29T17:00:00Z,255263
83,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,646,2021-04-30T18:00:00Z,260208
84,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,715,2021-04-03T20:00:00Z,260373
85,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,681,2021-04-07T18:00:00Z,260771
86,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,693,2021-04-10T15:00:00Z,261039
87,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,557,2021-04-13T12:00:00Z,263655
88,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,675,2021-04-20T05:00:00Z,264304
89,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,651,2021-04-13T14:00:00Z,268758
90,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,1001,2021-04-17T18:00:00Z,271610
91,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,525,2021-04-22T10:00:00Z,271957
92,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,637,2021-04-23T07:00:00Z,272041
93,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,1069,2021-04-20T16:00:00Z,274358
94,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,568,2021-04-14T12:00:00Z,278788
95,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,571,2021-04-15T12:00:00Z,278888
96,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,522,2021-04-17T14:00:00Z,279132
97,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,690,2021-04-03T18:00:00Z,280410
98,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,8729,2021-04-09T09:00:00Z,285789
99,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,556,2021-04-12T06:00:00Z,288446
100,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,456,2021-04-18T12:00:00Z,293910
101,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,459,2021-04-22T21:00:00Z,294322
102,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,567,2021-04-05T13:00:00Z,295214
103,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,451,2021-04-30T08:00:00Z,297304
104,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,814,2021-04-07T11:00:00Z,297894
105,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,859,2021-04-17T15:00:00Z,303751
106,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,543,2021-04-03T20:00:00Z,307467
107,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,560,2021-04-10T13:00:00Z,315633
108,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,583,2021-04-18T10:00:00Z,316283
109,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,639,2021-04-05T05:00:00Z,317559
110,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,648,2021-04-20T16:00:00Z,318954
111,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,617,2021-04-29T17:00:00Z,319674
112,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,646,2021-04-08T19:00:00Z,320400
113,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,418,2021-04-18T21:00:00Z,5699
114,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,3913,2021-04-07T07:00:00Z,17000
115,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,1124,2021-04-14T06:00:00Z,17604
116,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,424,2021-04-15T11:00:00Z,17737
117,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,458,2021-04-17T22:00:00Z,20636
118,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,379,2021-04-23T06:00:00Z,21089
119,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,464,2021-04-26T13:00:00Z,23714
120,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,356,2021-04-13T22:00:00Z,27742
121,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,429,2021-04-23T22:00:00Z,30992
122,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,336,2021-04-08T21:00:00Z,39650
123,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,447,2021-04-14T22:00:00Z,47547
124,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,370,2021-04-26T11:00:00Z,51063
125,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,492,2021-04-13T10:00:00Z,57406
126,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,490,2021-04-19T18:00:00Z,60497
127,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,465,2021-04-24T17:00:00Z,60942
128,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,461,2021-04-03T16:00:00Z,64108
129,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,497,2021-04-06T06:00:00Z,64296
130,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,388,2021-04-06T21:00:00Z,64376
131,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,634,2021-04-07T15:00:00Z,69416
132,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,430,2021-04-17T08:00:00Z,72804
133,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,538,2021-04-19T17:00:00Z,77884
134,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,517,2021-04-25T20:00:00Z,80794
135,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,404,2021-04-06T21:00:00Z,81691
136,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,458,2021-04-15T17:00:00Z,84935
137,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,759,2021-04-13T06:00:00Z,92121
138,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,340,2021-04-04T22:00:00Z,101435
139,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,767,2021-04-13T21:00:00Z,104687
140,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,726,2021-04-16T06:00:00Z,104892
141,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,394,2021-04-16T12:00:00Z,104921
142,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,430,2021-04-14T17:00:00Z,112105
143,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,5345,2021-04-05T16:00:00Z,116306
144,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,830,2021-04-14T16:00:00Z,119613
145,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,581,2021-04-15T06:00:00Z,124612
146,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,502,2021-04-17T08:00:00Z,124821
147,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,488,2021-04-01T22:00:00Z,133303
148,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,392,2021-04-20T12:00:00Z,134850
149,42,132,96,40.4107714,-3.6982294,-3.7035911,40.4463889,319,2021-04-20T21:00:00Z,134897
