MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
8178085;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;054;HISPANOAMERICA;OPERATIVO;;CALLE;BOLIVIA;22;20075263;MU-51
8178093;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;041;RECOLETOS;OPERATIVO;;CALLE;CASTELLO;56;11014246;MU-51
8178092;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;041;RECOLETOS;OPERATIVO;;CALLE;CASTELLO;56;11014246;MU-51
8178094;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;041;RECOLETOS;OPERATIVO;;CALLE;CASTELLO;56;11014246;MU-51
7944044;MU-51 - Soporte de Bicicletas Universal;21;BARAJAS;214;TIMON;OPERATIVO;;CALLE;SIROCO;58;31013046;MU-51
7944279;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;GENERAL DIAZ PORLIER;25;11014997;MU-51
7944280;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;GENERAL DIAZ PORLIER;25;11014997;MU-51
7944281;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;GENERAL DIAZ PORLIER;25;11014997;MU-51
7944282;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;GENERAL DIAZ PORLIER;25;11014997;MU-51
7944283;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;GENERAL DIAZ PORLIER;25;11014997;MU-51
7944304;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944305;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944306;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944307;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944308;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944309;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944310;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944311;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944312;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944313;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;025;DELICIAS;OPERATIVO;;PASEO;DELICIAS;61B;20136734;MU-51
7944370;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;036;NIÑO JESUS;OPERATIVO;;CALLE;ANGEL GANIVET;27;11013240;MU-51
7944373;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;036;NIÑO JESUS;OPERATIVO;;CALLE;ANGEL GANIVET;27;11013240;MU-51
7944374;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;036;NIÑO JESUS;OPERATIVO;;CALLE;ANGEL GANIVET;27;11013240;MU-51
7944376;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;036;NIÑO JESUS;OPERATIVO;;CALLE;ANGEL GANIVET;27;11013240;MU-51
7944377;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;036;NIÑO JESUS;OPERATIVO;;CALLE;ANGEL GANIVET;27;11013240;MU-51
7944447;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;18/10/2021;CALLE;JORGE JUAN;97;11015540;MU-51
7944448;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;18/10/2021;CALLE;JORGE JUAN;97;11015540;MU-51
7944449;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;18/10/2021;CALLE;JORGE JUAN;97;11015540;MU-51
7944450;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;18/10/2021;CALLE;JORGE JUAN;97;11015540;MU-51
7944451;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;18/10/2021;CALLE;JORGE JUAN;97;11015540;MU-51
7944457;MU-51 - Soporte de Bicicletas Universal;09;MONCLOA-ARAVACA;094;VALDEZARZA;OPERATIVO;18/10/2021;CALLE;ANTONIO MACHADO;18;11054696;MU-51
