Unnamed: 0,TIPOLOGIA,TIPO DE VIA,CICLO/MIXTA,LONGITUD
862,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,526.3787109
871,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,92.74521534
880,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,202.0016555
889,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,396.6243863
898,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,281.9926916
907,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,301.5253659
916,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,361.6958804
925,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,525.7921708
934,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1304.429096
943,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,257.7466574
952,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,78.0322975
961,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,54.52476752
970,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,160.8024627
979,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,99.37829375
