,index,start_station,start_station_Latitud,start_station_Longitud,end_station,end_station_Longitud,end_station_Latitud,travel_time,hour_time
77,77,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,17,2020-04-20T16:00:00Z
78,78,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,18,2020-04-20T16:00:00Z
79,79,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,15,2020-04-20T16:00:00Z
80,80,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,43,2020-04-20T16:00:00Z
81,81,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,12,2020-04-20T16:00:00Z
82,82,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,20,2020-04-20T16:00:00Z
83,83,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,16,2020-04-20T16:00:00Z
84,84,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,12,2020-04-20T16:00:00Z
85,85,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,16,2020-04-20T16:00:00Z
86,86,186,40.429069,-3.6782783,186,-3.6782783,40.429069,14,2020-04-21T06:00:00Z
87,87,186,40.429069,-3.6782783,186,-3.6782783,40.429069,4,2020-04-21T06:00:00Z
88,88,186,40.429069,-3.6782783,186,-3.6782783,40.429069,12,2020-04-21T06:00:00Z
89,89,186,40.429069,-3.6782783,186,-3.6782783,40.429069,4,2020-04-21T06:00:00Z
90,90,82,40.4084793,-3.669683,82,-3.669683,40.4084793,9,2020-04-21T06:00:00Z
91,91,190,40.4343761,-3.6834711,143,-3.6782355,40.434616,1600,2020-04-21T06:00:00Z
92,92,190,40.4343761,-3.6834711,143,-3.6782355,40.434616,1558,2020-04-21T06:00:00Z
93,93,190,40.4343761,-3.6834711,143,-3.6782355,40.434616,1536,2020-04-21T06:00:00Z
94,94,190,40.4343761,-3.6834711,143,-3.6782355,40.434616,1515,2020-04-21T06:00:00Z
95,95,190,40.4343761,-3.6834711,143,-3.6782355,40.434616,1515,2020-04-21T06:00:00Z
96,96,190,40.4343761,-3.6834711,143,-3.6782355,40.434616,1542,2020-04-21T06:00:00Z
97,97,190,40.4343761,-3.6834711,143,-3.6782355,40.434616,1559,2020-04-21T06:00:00Z
98,98,82,40.4084793,-3.669683,82,-3.669683,40.4084793,7,2020-04-21T07:00:00Z
99,99,188,40.4311658,-3.6589062,188,-3.6589062,40.4311658,12,2020-04-21T07:00:00Z
100,100,187,40.4301353,-3.6638407,187,-3.6638407,40.4301353,8,2020-04-21T07:00:00Z
101,101,89,40.4272628,-3.6751716,89,-3.6751716,40.4272628,6,2020-04-21T07:00:00Z
102,102,89,40.4272628,-3.6751716,89,-3.6751716,40.4272628,13,2020-04-21T07:00:00Z
103,103,81,40.4095758,-3.6919663,81,-3.6919663,40.4095758,13,2020-04-21T08:00:00Z
104,104,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,4,2020-04-21T08:00:00Z
105,105,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,6,2020-04-21T08:00:00Z
106,106,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,4,2020-04-21T08:00:00Z
107,107,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,5,2020-04-21T08:00:00Z
108,108,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,4,2020-04-21T08:00:00Z
109,109,80,40.4074122,-3.6904816,80,-3.6907238,40.407626,12,2020-04-21T08:00:00Z
110,110,80,40.4074122,-3.6904816,80,-3.6907238,40.407626,16,2020-04-21T08:00:00Z
111,111,80,40.4074122,-3.6904816,80,-3.6907238,40.407626,6,2020-04-21T08:00:00Z
112,112,77,40.4063347,-3.6707742,77,-3.6707742,40.4063347,6,2020-04-21T09:00:00Z
113,113,93,40.4256984,-3.6894124,93,-3.6894124,40.4256984,12,2020-04-21T11:00:00Z
114,114,130,40.4417195,-3.7017071,130,-3.7017071,40.4417195,7,2020-04-21T16:00:00Z
115,115,130,40.4417195,-3.7017071,130,-3.7017071,40.4417195,9,2020-04-21T16:00:00Z
116,116,110,40.4347654,-3.7201316,75,-3.6784149,40.4083387,414,2020-04-21T22:00:00Z
117,117,168,40.4045828,-3.6959159,157,-3.6893305,40.459282,2677,2020-04-21T23:00:00Z
118,118,157,40.459282,-3.6893305,91,-3.6788203,40.4261113,2877,2020-04-21T23:00:00Z
119,119,106,40.4248642,-3.6878868,27,-3.6955803,40.4132831,5694,2020-04-22T02:00:00Z
120,120,79,40.4050482,-3.6805524,84,-3.6726923,40.4033695,190,2020-04-22T03:00:00Z
121,121,152,40.4527163,-3.6989497,154,-3.6946736,40.4547769,207,2020-04-22T03:00:00Z
122,122,14,40.4259913,-3.7133768,149,-3.6878512,40.4498448,539,2020-04-22T03:00:00Z
123,123,74,40.4117601,-3.6765768,84,-3.6726923,40.4033695,510,2020-04-22T04:00:00Z
124,124,186,40.429069,-3.6782783,84,-3.6726923,40.4033695,242,2020-04-22T04:00:00Z
125,125,201,40.4387323,-3.7038161,65,-3.6893825,40.4166859,434,2020-04-22T04:00:00Z
126,126,181,40.4181748,-3.67664,190,-3.6834711,40.4343761,1033,2020-04-22T04:00:00Z
127,127,178,40.4030242,-3.6788939,103,-3.6865351,40.4303733,936,2020-04-22T04:00:00Z
128,128,171,40.3997626,-3.6984459,67,-3.6931349,40.410829,367,2020-04-22T04:00:00Z
129,129,49,40.4060497,-3.6992427,214,-3.6569597,40.4434012,1647,2020-04-22T04:00:00Z
130,130,83,40.4132589,-3.6745339,65,-3.6893825,40.4166859,550,2020-04-22T05:00:00Z
131,131,12,40.4285271,-3.7062202,74,-3.6765768,40.4117601,774,2020-04-22T05:00:00Z
132,132,14,40.4259913,-3.7133768,41,-3.6989898,40.412228,609,2020-04-22T05:00:00Z
133,133,139,40.4393558,-3.6904495,160,-3.6766176,40.4571995,668,2020-04-22T05:00:00Z
